Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount,Trade Time
2025-09-23,1,2025092304017563,UNHPL,Capital Max Securities Ltd,Thrive Brokerage House Pvt. Ltd,100,467.0,46700.0,2025-09-23T14:59:59.976593
2025-09-23,2,2025092303011450,ILBS,S.P.S.A. Securities Limited,Market Securities & Exchange (PVT) Ltd.,231,1201.0,277431.0,2025-09-23T14:59:59.958055
2025-09-23,3,2025092303011449,ILBS,R.B.B. Securities Company Ltd,Market Securities & Exchange (PVT) Ltd.,419,1201.1,503260.9,2025-09-23T14:59:59.957994
2025-09-23,4,2025092303011448,ILBS,Naasa Securities Co. Ltd.,Market Securities & Exchange (PVT) Ltd.,10,1202.1,12021.0,2025-09-23T14:59:59.957947
2025-09-23,5,2025092303011447,ILBS,Imperial Securities Company Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,130,1203.5,156455.0,2025-09-23T14:59:59.957828
2025-09-23,6,2025092305022285,RHGCL,Premier Securities Company Ltd.,Sundhara Securities Limited,10,281.0,2810.0,2025-09-23T14:59:59.950074
2025-09-23,7,2025092305022284,RHGCL,Aryatara Investment & Securities,Sundhara Securities Limited,11,281.0,3091.0,2025-09-23T14:59:59.902652
2025-09-23,8,2025092304017562,API,Opal Securities Investment (PVT) Ltd.,Naasa Securities Co. Ltd.,368,291.9,107419.2,2025-09-23T14:59:59.875013
2025-09-23,9,2025092304017561,API,Opal Securities Investment (PVT) Ltd.,Naasa Securities Co. Ltd.,500,291.5,145750.0,2025-09-23T14:59:59.87492
2025-09-23,10,2025092304017560,API,Opal Securities Investment (PVT) Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,621,291.0,180711.0,2025-09-23T14:59:59.874833
2025-09-23,11,2025092304017559,API,Opal Securities Investment (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,30,290.0,8700.0,2025-09-23T14:59:59.874744
2025-09-23,12,2025092304017558,API,Opal Securities Investment (PVT) Ltd.,Sani Securities Company Ltd.,981,290.0,284490.0,2025-09-23T14:59:59.874539
2025-09-23,13,2025092301016067,ULBSL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,S.P.S.A. Securities Limited,90,3601.0,324090.0,2025-09-23T14:59:59.855088
2025-09-23,14,2025092301016066,HBL,Sri Hari Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,10,200.1,2001.0,2025-09-23T14:59:59.821394
2025-09-23,15,2025092305022283,HDL,Imperial Securities Company Pvt. Ltd.,Aakashbhairab Securities Ltd.,30,1380.1,41403.0,2025-09-23T14:59:59.810733
2025-09-23,16,2025092305022282,HDL,Trishakti Securities Public Limited,Aakashbhairab Securities Ltd.,100,1380.2,138020.0,2025-09-23T14:59:59.810686
2025-09-23,17,2025092301016065,EBL,Premier Securities Company Ltd.,Sweta Securities Private Limited,10,712.0,7120.0,2025-09-23T14:59:59.789342
2025-09-23,18,2025092301016064,SBI,Aryatara Investment & Securities,Dynamic Money Managers Securities Pvt. Ltd.,10,392.7,3927.0,2025-09-23T14:59:59.736596
2025-09-23,19,2025092304017557,PMHPL,Asian Securities Private Ltd.,Sumeru Securities Pvt. Ltd.,200,351.6,70320.0,2025-09-23T14:59:59.721858
2025-09-23,20,2025092305022281,HIDCL,Capital Max Securities Ltd,Online Securities Pvt. Ltd.,10,281.0,2810.0,2025-09-23T14:59:59.684353
